shotid         a                  b
20170105009  -2277.91968       15.2037601   
20170225014   58.7236404       1.88234169E-02
20171118008   182.943863      -6.71583080   
20171124012  -20.5196648      0.814509869   
20180113012  4130.89648      -24.9403858  
20180212011  -56.5205383      0.593840003   
20180221010   107.916008     -0.346602768   
20180807009   181.739807     -0.423180610   
20190105023   557.873169      -2.96999025   
20190108013  -112.862488      0.766060472   
20190112028   68.6355667      -8.68890285E-02
20190407022   1101.74841      -5.56521606   
20190501021   184.456070     -0.737133443   
20190529025   174.459229     -0.542366982   
20190609019  -39.0180206      0.402964532   
20190609022  -391.051941       1.67569768   
20190731019   174.330368     -0.404285133   
20190903021  -47.6646957       1.72354043   
20191224027   23.5744514      0.154191241   
20200129029   497.471771      -2.22039461   
20200131020  -115.525246      0.978519261

