Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
10h10m09.6s +54d30m06.984s,PGC 29584,,UGC 05479,,.S?....,,1.14,.05,100,.17,.05,101009.6+543008,"OFFSET 1.016 arcsec,",0.6901921323014423,100.0,0.46662715039849545
10h10m54.4s +45d57m01s,PGC 29646,NGC 3135,UGC 05486,,.S?....,,.95,.07,90,.20,.05,101054.4+455701 N,,0.4456254690668727,90.0,0.28117066259517454
10h12m08.2704s +46d17m37.356s,PGC 29711,,UGC 05496      U,,.S..8*.,,1.10,.05,152,.68,.05,101208.4+461737,"OFFSET 1.390 arcsec,",0.6294627058970838,152.0,0.1315133995947691
10h15m42.2s +55d40m03s,PGC 29953,A 1012+55,CGCG 266-031   P,,.SBR3*.,,,,,,,101542.2+554003 A,"LOGD25,NOPA,NOAXIS,PANedMedian,",0.6560999495096017,39.0,0.6560999495096017
10h16m28.2192s +45d19m17.724s,PGC 30005,A 1013+45,UGCA 208,MK 0140,,,.54,.11,,.19,.07,101628.4+451918 A,"NOPA,OFFSET 1.927 arcsec,PANedMedian,",0.17336842522626583,34.0,0.11193605692841697
10h16m58.7016s +49d37m37.884s,PGC 30031,,UGC 05545,IRAS10138+4952,.S?....,,.97,.07,130,.10,.05,101658.8+493736,"OFFSET 2.113 arcsec,",0.4666271503984955,130.0,0.37065512065045875
10h17m05.1264s +54d49m13.8s,PGC 30036,,UGC 05546      U,,.SB.3..,,1.04,.06,150,.19,.05,101705.3+544914,"OFFSET 1.514 arcsec,",0.5482390980715925,150.0,0.3539728921920689
10h17m16s +53d27m43s,PGC 30044,,UGC 05549      U,,.S..4..,,1.04,.06,55,.07,.05,101716.0+532743,,0.5482390980715925,55.0,0.46662715039849556
10h18m22.6752s +45d57m16.776s,PGC 30094,,UGC 05558      U,,.S..1..,,1.04,.06,12,.67,.05,101822.8+455716,"OFFSET 1.515 arcsec,",0.5482390980715925,12.0,0.11721144076599609
10h19m05.1s +46d27m14s,PGC 30136,NGC 3191,UGC 05565      P,IRAS10160+4642,.SBS4P.,,.92,.05,5,.16,.04,1019 5.1+462714 N,,0.41588188555133554,5.0,0.2877199686685785
