multiframe fibnum
multi_017_086_022_RU 93
multi_017_097_022_LU 112
multi_017_097_022_RU 93
multi_017_106_022_RU 93
multi_020_095_004_LL 112
multi_020_095_004_RL 82
multi_020_103_004_RL 82
multi_025_067_032_LL 55
multi_025_067_032_RL 97
multi_025_076_032_RL 97
multi_037_074_024_LL 75
multi_041_063_015_LU 80
multi_041_084_015_LU 80
multi_041_086_015_LU 80
multi_047_076_016_RL 2
multi_047_076_016_RL 3
multi_047_076_016_RL 4
multi_047_076_016_RL 21
multi_047_076_016_RL 22
multi_047_076_016_RL 23
multi_047_076_016_RU 94
multi_047_076_016_RU 95
multi_047_076_016_RU 96
multi_202_035_074_RL 112
multi_202_044_074_RL 112
multi_204_077_037_RL 43
multi_204_087_037_RL 43
multi_205_067_058_LL 98
multi_205_091_058_LL 98
multi_206_060_003_LL 72
multi_206_060_003_RU 55
multi_301_015_038_RL 102
multi_301_052_072_RL 45
multi_302_036_041_LL 22
multi_304_034_003_LL 72
multi_304_034_003_RU 55
multi_304_044_045_RU 1
multi_304_044_045_RU 2
multi_304_044_045_RU 38
multi_306_037_057_LU 95
multi_306_043_057_LU 95
multi_308_047_024_LL 73
multi_308_057_024_LL 73
multi_309_046_005_RL 111
multi_310_033_002_RL 59
multi_310_033_002_RU 29
multi_311_036_053_RL 103
multi_312_045_065_LL 56
multi_312_047_065_LL 56
multi_314_027_011_LL 48
multi_314_027_011_RL 75
multi_315_021_073_LU 19
multi_315_021_073_LU 57
multi_315_042_073_LU 19
multi_315_042_073_LU 57
multi_317_015_038_RL 102
multi_318_023_078_LL 35
multi_318_023_078_LU 112
multi_318_023_078_RU 87
multi_318_026_078_LL 35
multi_318_026_078_LU 112
multi_318_026_078_RU 87
multi_321_042_030_LU 97
multi_321_042_030_RU 49
multi_321_042_030_RU 78
multi_327_081_017_RL 23
multi_327_092_017_RL 23
multi_402_077_061_LL 81
multi_404_073_071_RL 70
multi_406_071_081_LL 52
multi_406_071_081_RL 41
multi_406_071_081_RL 53
multi_408_031_049_LL 90
multi_408_031_049_LU 9
multi_409_016_036_RU 13
multi_410_015_038_RL 102
multi_416_058_063_LU 74
multi_418_057_064_LL 4
multi_419_039_053_RL 103
multi_419_040_046_RU 66
multi_421_069_006_RU 81
multi_424_039_053_RL 103
multi_426_095_004_RL 82
multi_02_066_7002_RU 7
multi_02_066_7002_RU 18
multi_504_050_018_RL 1
multi_505_097_022_RU 93
multi_508_059_080_RU 76
multi_511_063_015_LU 80
multi_302_035_041_LL 22
multi_312_045_065_LU 88
multi_501_080_012_RU 38
multi_501_080_012_RU 39
multi_309_046_005_RL 112
