shotid         a                  b
20170105009  -2277.91968       15.2037601   
20170225014   58.7236404       1.88234169E-02
20171015004  -7.77069283      0.795800507 
20171023016   60.8314972      -1.97251284  
20171118008   182.943863      -6.71583080   
20171124012  -20.5196648      0.814509869   
20180113012  4130.89648      -24.9403858  
20180212011  -56.5205383      0.593840003   
20180221010   107.916008     -0.346602768
20180519010  -20.3292789      0.357651472       
20180807009   181.739807     -0.423180610   
20190105023   557.873169      -2.96999025   
20190108013  -112.862488      0.766060472   
20190529025   174.459229     -0.542366982   
20190609019  -39.0180206      0.402964532   
20190731019   174.330368     -0.404285133   
20190903021  -47.6646957       1.72354043   
20191020015  -7.07683134      0.776734769  
20191224027   23.5744514      0.154191241   
20191229015   149.592743      -6.74769831 
20200129029   497.471771      -2.22039461   
20200131020  -115.525246      0.978519261
20200324014  -500.980011       2.53726125   
20200419018   687.049072      -3.02559471 
20200523028   367.435089      -1.29421258
20210530016    152.21105    -0.528983842
20210611015  -287.742939      1.30479522
20210113026  -2.38385341     0.305630688
20210219019   549.801117     -2.19200663
20201219024   126.636214     -0.40545369
20201109016   13.4196742    -0.413338872
20210827007   47.4615751    0.0744424011
20210616021   98.4996301    -0.116163675
20210710013   230.314637    -0.602166077
20210729012   110.840589     -0.26550628
20210518019   56.2041939    0.0400927289
20180420006   336.156349     -1.48823541
20210713016   358.685162     -1.08559572
20181214015   62.8242444    -0.0612481594
20200322019  -193.304674      1.15231193
20210810022   46.6009434     -2.85615429
20190407022   1081.42093     -5.45743115
20210109019  -325.198194      2.18708878
20210117025  -187.011424      1.23505162
20210222027    93.516303    -0.199814889
20191121009   7.63433042    -0.680713874
20201120012  -11.5637385     0.761287953
20200927025  -16.7411285     0.563661004
20201118017  -190.533406      5.21629096
20170427014   109.247263     -0.26355189
20180520011   284.144462     -1.08652487
20200829019   -3.9010127    0.0617762859
20180113014   22.5040546     0.162264817
20180321013  -1016.67205      5.14757092
20190509004   111.787367    -0.335375954
20190609022    -371.2666      1.60299411
20191021015  -15.0266586     0.906660449
20200101024   211.048754    -0.940218579
20210915019    168.78948      -8.8229625
20211004024   11.9580699     -0.36892303
20211029016   13.4989989      -1.6158265
20211106022  -290.253168      8.57003358
20211107024  -21.4261432      0.67719159
20211111019   590.643066     -26.1827254
20220208019  -61.5471399     0.593430589
20220404014  -452.374712       2.6667561
20220425017   15.5050751     0.157003374
20220620016   110.653826    -0.283822274
20220627012  -163.377701      1.12194836
20220802010   222.919632    -0.570667148
20220928016  -5.66733516     0.468503213
20221003017   31.6368273     -1.44001619
20221004018  -24.7688824      1.24961772
20221027019   13.1943538     -1.19036646
20221118013   13.7569344     -0.69380813
20221123011  -8.76053971     0.466876185
20230122018  -852.463682      4.97180072
20190112028   68.8308184    -0.0878798473
20190501021   185.034392    -0.740330051
20220310023  -350.353514      1.64040174
20220526013   77.4823997    -0.138308045
20230517028   323.699079    -0.966816216
20230519008  -173.796943     0.944021947
20230719012   2.05129783     0.213352403
20230720009   234.466241    -0.633816502
