Coords,PGC,Name1,Name2,Name3,logD25,logD25err,RC3PA,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,SemiMinorAxis,PositionAngle,NEDRedshift
00h23m16.4496s +02d25m17.004s,PGC 01485,,UGC 00220      U,,1.15,0.15,177.0,0.43,0.08,002316.5+022516,"NOPA,OFFSET 1.3 arcsec,PANedMed,",0.706,0.262,88.0,0.039787
00h25m47.76s -02d17m05.208s,PGC 01609,,MCG -01-02-011 E,IRAS00232-0233,1.3,0.04,,0.9,0.04,002547.9-021705,"NOPA,OFFSET 2.1 arcsec,PANedMed,",0.998,0.126,15.0,0.017809
00h26m54.6s -02d30m03s,PGC 01656,NGC 0113,MCG -01-02-016 E,,1.15,0.1,,0.13,0.07,002654.6-023003 N,"NOPA,PANedMed,",0.706,0.524,135.0,0.01487
00h26m58.2s -01d47m10s,PGC 01660,NGC 0114,UGC 00259      U,MK 0946,0.93,0.06,165.0,0.1,0.04,002658.2-014710 N,"NOPA,PANedMed,",0.426,0.338,117.0,0.013873
00h27m11.1s +01d20m01s,PGC 01674,NGC 0117,MCG +00-02-029 E,,0.87,0.08,100.0,0.25,0.05,002711.1+012001 N,"NOPA,PANedMed,",0.371,0.208,105.0,0.017889
00h27m16.2s -01d46m48s,PGC 01678,NGC 0118,UGC 00264      E,MK 0947,0.85,0.06,40.0,0.15,0.04,002716.2-014648 N,"NOPA,PANedMed,",0.354,0.251,70.0,0.037526
00h27m30.1s -01d30m48s,PGC 01693,NGC 0120,UGC 00267      P,,1.19,0.05,73.0,0.39,0.03,002730.1-013048 N,"NOPA,PANedMed,",0.774,0.315,71.0,0.013289
00h27m49.8s -01d11m59.9s,PGC 01713,,UGC 00272      U,KUG 0025-014,1.16,0.03,130.0,0.37,0.04,002749.8-011160,"DEC_ADJ,NOPA,PANedMed,",0.723,0.308,126.0,0.012993
00h27m52.4s -01d48m37s,PGC 01715,NGC 0124,UGC 00271      R,IRAS00253-0205,1.15,0.03,168.0,0.22,0.03,002752.4-014837 N,"NOPA,PANedMed,",0.706,0.426,169.0,0.013543
00h27m58.6s +02d30m27s,PGC 01723,,UGC 00275      E,,1.25,0.04,128.0,0.28,0.04,002758.6+023027,"NOPA,PANedMed,",0.889,0.467,134.0,0.014627
00h28m13.8s +03d14m00.708s,PGC 01737,,UGC 00277      U,,1.09,0.07,160.0,0.09,0.06,002813.9+031400,"NOPA,OFFSET 1.7 arcsec,PANedMed,",0.615,0.5,167.0,0.014553
00h28m21.7296s +03d23m22.812s,PGC 01741,,UGC 00283      U,,1.06,0.08,168.0,0.14,0.06,002821.8+032321,"NOPA,OFFSET 2.1 arcsec,PANedMed,",0.574,0.416,165.0,0.013463
00h28m18.5088s +03d22m59.268s,PGC 01746,,UGC 00282      U,,1.24,0.04,45.0,0.03,0.05,002818.6+032301,"NOPA,OFFSET 2.2 arcsec,PANedMed,",0.869,0.811,168.0,0.013643
00h28m20.5296s -00d13m04.296s,PGC 01747,,UGC 00280      U,,1.08,0.06,55.0,0.06,0.05,002820.6-001305,"NOPA,OFFSET 1569.3 arcsec,PANedMed,",0.601,0.524,155.0,0.061444
00h28m22.1592s +02d31m38.1s,PGC 01748,,UGC 00281      U,KUG 0025+022,1.04,0.04,22.0,0.36,0.04,002822.2+023137,"NOPA,OFFSET 1.3 arcsec,PANedMed,",0.548,0.239,21.0,0.014307
00h28m38.22s +02d57m15.516s,PGC 01760,A 0026+02,MCG +00-02-045 P,,0.94,0.08,55.0,0.64,0.05,002838.1+025715 A,"NOPA,OFFSET 1.9 arcsec,PANedMed,",0.435,0.1,60.0,0.014907
00h28m48.2592s +03d25m46.092s,PGC 01770,,MCG +00-02-047,ARAK 011,0.64,0.17,,0.19,0.07,002848.3+032552,"NOPA,OFFSET 5.9 arcsec,PANedMed,",0.218,0.141,155.0,0.01501
00h28m50.2s +02d50m19s,PGC 01772,NGC 0125,UGC 00286      P,,1.22,0.04,85.0,0.05,0.04,002850.2+025019 N,"NOPA,PANedMed,",0.83,0.74,55.0,0.017699
